date,item,title,authors,dollars,classification
2024-12-10,20,***Item Removed by the City Manager*** Changes to Selected Recreation Facilities and Camps Program Fees,"LunaParra, Humbert, Kesarwani",,8
2024-12-10,21,Fire Prevention Inspections Audit Status Report,,,1
2024-12-10,22,Restaurant Inspection Audit Status Report,,,8
2024-12-10,23,Update: HR Response: Audit Directive(s) for Comprehensive Domestic Violence Policy to Support City Employees,,,8
2024-12-10,24,Audit Status Reports: Fleet Replacement Fund Short Millions and Rocky Road: Berkeley Streets at Risk and Significantly Underfunded,,,1
2025-01-21,23,California Municipal Finance Authority Bond Financing for 2001 Ashby Avenue,,,1
2025-01-21,24,Changes to Select Recreation Facilities and Camps Program Fees,,,2
2025-01-21,25,"ZAB Appeal: 2708 Prince Street, Use Permit ZP2024-0024",,,8
2025-01-21,26,Expanding Homeownership Opportunities for Middle-Income Earners,Kesarwani,,2
2025-01-21,27,Reaffirming Berkeley as a Sanctuary City,"Blackaby, Ishii, LunaParra, Taplin",,9
2025-01-21,28,Budget Referral: Curb Marking and Preventative Infrastructure Upgrades,"LunaParra, Humbert","$1,250,000.00",1
2025-01-21,29,Audit Follow-up Status Update,,,8
2025-02-11,8,2009 Leases Audit Follow-Up: Berkeley Faces the Same Risks 16 Years Later,,,8
2025-02-11,9,Proposed Amendments to the Building Emissions Saving Ordinance (BESO),,,2
2025-02-11,10,"FY 2024 Fourth Quarter Investment Report: Ended June 30, 2024",,,1
2025-02-11,11,LPO NOD: 1310 University Avenue/#LMSA2024-0001,,,8
2025-02-11,12,LPO NOD: 2500-12 San Pablo Avenue/#LMIN2024-0004,,,8
2025-02-25,14,Inclusionary Housing Ordinance In-Lieu Fee,,$56.00,2
2025-02-25,15,Zoning Ordinance Amendments to Title 23 of the Berkeley Municipal Code for Consistency with State Law Related to Electric Vehicle Charging and Technical Edits,,,2
2025-02-25,16,Community Health Assessment Report,,,9
2025-03-11,17,Appeal of Special Assessment Tax Lien – 1806 Walnut St,,,8
2025-03-11,18,Adopt an Ordinance to Prohibit the Sale or Use of Algorithmic Devices to Set Rents or Manage Occupancy Levels for Residential Dwelling Units,,,9
2025-03-11,19,"FY 2025 First Quarter Investment Report: Ended September 30, 2024",,,1
2025-03-11,1,2025 City Council Referral Prioritization Process Using Re-Weighted Range Voting (RRV),,,8
2025-03-18,9,2024 Local Hazard Mitigation Plan (LHMP),,,1
2025-03-18,10,Formation of a Sex Trafficking Task Force to Address Current Sex Trafficking in Berkeley,,,9
2025-03-18,11,Revised External Fixed Surveillance Camera Locations and Vendor Transition,,,2
2025-03-25,8,"Establishment of M-RD Zoning District, Associated General Plan and West Berkeley Plan Amendments, and Environmental Impact Report",,,2
2025-03-25,9,"ZAB Appeal: 3000 Shattuck Avenue, Use Permit #ZP2022-0046",,,8
2025-03-25,11,FY 2025 Mid-Year Budget Update Report,,,1
2025-03-25,12,Landmarks Preservation Ordinance Notice of Decision (LPO NOD): 2138 Kittredge Street/#LMIN2024-0006,,,8
2025-03-25,13,Landmarks Preservation Ordinance Notice of Decision (LPO NOD): 3332 Adeline Street/#LMSAP2025-0001,,,8
2025-03-25,2,Pavement Management & Infrastructure Planning Presentation,,,1
2025-03-25,3,2025 City Council Referral Prioritization Results Using Re-Weighted Range Voting (RRV),,,8
2025-04-15,1,Adoption of CALFIRE Map and Additional Areas Designated as the City of Berkeley Fire Hazard Severity Zones,,,1
2025-04-15,2,Modification and Adoption of Berkeley Fire Code Local Amendments,,,1
2025-04-28,1,"Resolution for an Immediate and Permanent Ceasefire in Gaza, and an End to U.S. Military Aid to Israel, and Support for Palestinian Self-Determination",,,9
2025-04-29,28,Submission of the 2025-2030 Consolidated Plan and Program Year 2025 Annual Action Plan,,"$6,676.00",2
2025-04-29,29,Implement Residential Preferential Parking (RPP) Program on the 1500 Block of Virginia Street,,,2
2025-04-29,30,Zoning Ordinance and General Plan Amendments Relating to Middle Housing,,,2
2025-04-29,31,2025 Police Accountability Board Workplan,,,3
2025-04-29,32,Restaurant Inspections Audit Report Wins National Recognition,,,3
2025-05-06,9,Modification and Adoption of Berkeley Fire Code Local Amendments,,,1
2025-05-06,10,"ZAB Appeal: 1048 Keith Avenue, Use Permit ZP2024-0014",,,8
2025-05-20,30,FY 2026 Proposed Mid-Biennial Budget Update and Public Hearing #1,,,1
2025-05-20,31,"LPC Appeal: 2500-2512 San Pablo Avenue, Landmark Application #LMIN2024-0004",,,3
2025-05-20,32,Appointment of Four Berkeley Residents to the SAFE STREETS Citizen Oversight Committee,,,8
2025-05-20,1,"Authorizing the Execution, Sale, and Delivery of Lease Revenue Notes for the Fire Administration and Training Project",,"$11,000,000.00",1
2025-05-20,2,"Issuance of $35,000,000 General Obligation Bonds for Measure O – Affordable Housing",,,1
2025-06-03,26,Re-Establishment - Berkeley Tourism Business Improvement District (Public Meeting),,,8
2025-06-03,27,"Conduct a Public Hearing in Compliance with Assembly Bill 2561 / Government Code § 3502.3 Regarding Vacancies, Recruitment, and Retention Efforts",,,8
2025-06-03,28,"Zoning Adjustments Board Appeal: 1950-1998 Shattuck Avenue, Use Permit #ZP2023-0040",,,8
2025-06-03,29,"Section 115 Trust Investment Report from Inception to Period Ended June 30, 2024",,,1
2025-06-17,32,Ambulance Transport and First Responder Fee Increase,,,1
2025-06-17,33,Fire Permit and Inspection Fee Schedule,,$892.00,1
2025-06-17,34,Fees: Public Health: Berkeley High School Health Center Services,,,9
2025-06-17,35,Housing Trust Fund and Small Sites Program Fees,,"$4,330.00",2
2025-06-17,36,Affordable Housing Compliance Review Fee,,$130.00,2
2025-06-17,37,Selected Marina Fee Increases,,,2
2025-06-17,38,Changes to Selected Recreation Facilities and Camps Program Fees,,,2
2025-06-17,39,Changes to the Planning & Development Fee Schedule,,,2
2025-06-17,40,New Fee Schedule for Carry Concealed Weapon Permits,,,2
2025-06-17,41,Changes to Select Public Works Transportation Permit Fees,,,2
2025-06-17,42,Levy and Collection of Fiscal Year 2026 Street Lighting Assessments,,,1
2025-06-17,44,Landmarks Preservation Ordinance Notice of Decision: 2845 Woolsey Street/#LMIN2025-0001,,,8
2025-06-17,45,Landmarks Preservation Ordinance Notice of Decision: 1947 Center Street/#LMSAP2025-0007,,,8
2025-06-17,46,"goBerkeley Parking Management Program - Recommended Adjustments for July 20, 2025",,,2
2025-06-24,23,Re-Establishment of the Berkeley Tourism Business Improvement District,,,8
2025-06-24,24,FY 2026 Proposed Budget Update Adoption,,,1
2025-06-24,25,FY 2026 Annual Appropriations Ordinance,,"$1,452,682,310.00",1
2025-06-24,26,Borrowing of Funds and the Sale and Issuance of FY 2025-26 Tax and Revenue Anticipation Notes,,"$61,000,000.00",1
2025-06-24,27,Voluntary Time Off Program for Fiscal Year 2026,,,1
2025-06-24,28,"FY 2025 Third Quarter Investment Report: Ended March 31, 2025",,,1
2025-06-24,29,"FY 2025 Second Quarter Investment Report: Ended December 31, 2024",,,1
2025-06-24,30,State of Public Health in Berkeley Summary Report,,,9
2025-06-24,1,Fire Permit and Inspection Fee Schedule,,$892.00,1
2025-06-24,2,New Fee Schedule for Carry Concealed Weapon Permits,,,2
2025-06-24,3,Changes to Select Public Works Transportation Permit Fees,,,2
2025-06-24,4,Selected Marina Fee Increases,,,2
2025-06-26,1,Zoning Ordinance and General Plan Amendments Relating to Middle Housing,,,2
2025-07-08,26,Zoning Ordinance Amendments to Title 23 of the Berkeley Municipal Code for Consistency with State Law and Technical Edits (SLTE 2025),,,2
2025-07-08,27,***Removed from the Agenda by the City Manager*** Approval and Levy of 2018 Clean Stormwater Fee in FY 2026,,,8
2025-07-22,15,Ordinance Vacating a Portion of Carleton Street from Westerly Terminus Extending 381.23 Feet Easterly,,,8
2025-07-22,16,Memorandum of Understanding (MOU) Compendium: Agreements with Other Law Enforcement Agencies and Private Organizations,,,1
2025-07-22,17,Surveillance Technology Ordinance Submission for External Fixed Surveillance Cameras (Flock Safety Condor Video Cameras),,,8
2025-07-22,18,Reimagining Public Safety Status Report,,,3
2025-07-22,19,Restaurant Inspection Audit Status Report,,,8
2025-07-22,20,Landmark Preservation Ordinance Notice of Decision: 2009 Tenth Street/#LMSAP2025-0003,,,8
2025-07-22,21,Landmark Preservation Ordinance Notice of Decision: 2035 Francisco Street/#LMIN2024-0003,,,8
2025-07-22,22,City Auditor Fiscal Year 2026 Audit Plan,,,8
2025-07-23,1,"Landmarks Preservation Commission Appeal: 2425 Durant, Landmark application #LMIN2024-0008",,,8
2025-07-23,2,"Landmarks Preservation Commission Appeal: 2138 Kittredge, Landmark application #LMIN2024-0006",,,8
2025-07-23,3,"Zoning Adjustment Board Appeal: 2655 Shattuck, Use Permit #ZP2024-0057",,,8
2025-07-29,28,"Accessory Dwelling Units (ADUs): Amendments to Title 21 (Subdivisions) to Allow Separate Sale of ADUs, and Amendments to Title 23 (Zoning) to Comply with State Law and Encourage ADU Development",,,2
2025-07-29,29,Ordinance Vacating a Portion of Carleton Street from Westerly Terminus Extending 381.23 Feet Easterly,,,8
2025-07-29,30,Status Report - Berkeley’s Financial Condition (FY 2012 – FY 2021): Pension Liabilities and Infrastructure Need Attention,,,1
2025-07-29,31,Commission on Labor Fiscal Year 2026 Work Plan,,,3
2025-07-29,32,Annual Report on Landmarks Preservation Commission Actions,,,3
2025-07-29,33,Zero Waste Commission Fiscal Year 2025-26 Work Plan,,,3
2025-09-09,24,Contract: Flock Safety for Condor Fixed Surveillance Cameras,,"$910,000.00",2
2025-09-09,25,Proposed Sanctuary City Ordinance – Council Referral; Adding Berkeley Municipal Code Chapter 13.114,,,9
2025-09-09,26,Fire Hazard Severity Zone 0 Implementation Plan,,,1
2025-09-09,27,Update on the 2019 Berkeley Fire Prevention Division City Audit,,,1
2025-09-09,28,Landmark Preservation Ordinance Notice of Decision: 2328 Channing Way Way/#LMSAP2025-0004,,,8
2025-09-09,29,Landmark Preservation Ordinance Notice of Decision: 2135 Martin Luther King Jr. Way (Civic Center Park)/#LMSAP2025-0005,,,8
2025-09-09,30,Update on Implementation Progress of Citygate’s Workload Organizational Study of the Police Department,,,3
2025-09-09,31,Fair Campaign Practices Commission FY 2025-2026 Work Plan,,,3
2025-09-09,32,Open Government Commission FY 2025-2026 Work Plan,,,3
2025-09-30,16,Changes to the Planning and Development Fee Schedule,,,2
2025-09-30,17,Resolution Calling on the California State Legislature to Amend Government Code Section 12519 to Allow Heads of Civilian Oversight Agencies to Directly Request Investigative Assistance from the Attorney General’s Office,,,9
2025-09-30,18,"Resolution Directing the City Manager to Work with the City Attorney’s Office to Establish a Communications Policy, Corresponding Training, and Compliance Mechanisms to Ensure Impartiality and Neutrality During the Pendency of an Active Personnel Investigation",,,8
2025-09-30,19,Landmark Preservation Ordinance Notice of Decision: 2201-2205 Blake Street/#LMSAP2024-0004,,,8
2025-09-30,20,Landmark Preservation Ordinance Notice of Decision: 2939 Dwight Way/#LMIN2020-0007,,,8
2025-09-30,21,Audit Recommendation Status - Berkeley Police: Improvements Needed to Manage Overtime and Security Work for Outside Entities,,,8
2025-10-28,32,Amendments to Title 21 (Subdivisions) to Allow Separate Sale of ADUs,,,2
2025-10-28,33,Telegraph Multimodal Corridor Project Conceptual Design,,,2
2025-10-28,34,Inclusionary Housing Program Annual Report Fiscal Year 2025,,,2
2025-10-28,35,Audit Status Reports: Fleet Replacement Fund Short Millions and Rocky Road: Berkeley Streets at Risk and Significantly Underfunded,,,1
2025-10-28,36,Audit Status Report: 2009 Leases Audit Follow-Up,,,8
2025-10-28,37,Civic Arts Commission FY26 Work Plan,,,3
2025-10-28,38,Fiscal Year 2026 Public Art Budget,,,3
2025-10-28,1,Ashby BART East Lot Transit Oriented Development Request for Proposal Framework,,,2
2025-11-10,9,Adoption of the 2025 California Fire Code with Local Amendments,,,1
2025-11-10,10,Adoption of and Amendments to the California Wildland-Urban Interface (WUI) Code,,,1
2025-11-10,11,"Annual Surveillance Technology Report for Body Worn Cameras, GPS Trackers, Fixed Surveillance Video Cameras, Parking Enforcement Officer Automated License Plate Readers, the Street Level Imagery Project, Unmanned Aerial Systems, and Fixed Automated License Plate Readers",,,8
2025-11-10,12,"Referral to Amend Berkeley Municipal Codes 3.24.120 and 3.24.300 to Improve Procedure for Designating Landmarks, Historic Districts and Structures of Merit","Kesarwani, Humbert",,1
2025-11-18,28,"Adoption of Berkeley Building Codes, Including Local Amendments to California Building Standards Code",,,2
2025-11-18,29,Zoning Ordinance Amendments to Title 23 of the Berkeley Municipal Code for Consistency with State Law and Technical Edits (SLTE 2025),,,2
2025-11-18,30,Pausing City of Berkeley Authorization for Mills Act Agreements,"Humbert, Ishii, Kesarwani, LunaParra",,3
2025-11-18,31,Unmanned Aerial Systems and Drones as First Responders,"Taplin, Kesarwani, Humbert",,1
2025-11-18,32,2025 Audit Follow-up Status Update,,,8
2025-11-18,33,Independent Third-Party Audit of the Payroll Audit Division,,,8
2025-11-18,1,2024 Police Accountability Board (PAB) & Office of the Director of Police Accountability (ODPA) Annual Report,,,3
2025-12-02,38,Renewal of the Elmwood Avenue BID for Calendar Year 2026,,,8
2025-12-02,39,Renewal of the Solano Avenue BID for Calendar Year 2026,,,8
2025-12-02,40,Adoption of the 2025 California Fire Code with Local Amendments – Second Reading,,,1
2025-12-02,41,Adoption of and Amendments to the California Wildland-Urban Interface (WUI) Code – Second Reading,,,1
2025-12-02,42,Amendments to Title 23 (Zoning) to Allow the Retail Sale of Alcohol in the Telegraph Avenue Commercial (C-T) Zoning District,,,2
2025-12-02,43,Amendments to Title 21 (Subdivisions) to Allow Separate Sale of ADUs,,,2
2025-12-02,44,Economic Impact Study: Berkeley's Creative Economy and Assessment of Pandemic Relief Investments,,,9
2025-12-02,45,Sanctuary City Contracting Compliance Report for FY 2024 and 2025,,,9
2025-12-02,46,Housing Advisory Commission Fiscal Year 2026 Work Plan,,,3
2025-12-02,1,"Sharing the Final Report of the Mayor’s Vision 2050 Task Force, Realize Vision 2050: Update to the Vision 2050 and Recommendations to Address Berkeley’s Infrastructure",Ishii,,3
2025-12-02,2,"Discussion Regarding Potential Ballot Measures for the November 3, 2026, General Municipal Election",,,1
2026-01-20,21,Amendments to Title 21 (Subdivisions) to Allow Separate Sale of ADUs,,,2
2026-01-20,22,Fees: Public Health Vital Statistics Vital Records,,$2.00,9
2026-01-20,23,Changes to Selected Recreation and Camps Facilities and Program Fees,,,2
2026-01-20,24,"Amendments to Title 23 (Zoning) to permit by-right approval of qualifying housing projects on sites identified in previous Housing Elements, and revisions related to Design Review",,,2
2026-01-20,25,Small Sites Program Update,,,2
2026-01-20,26,Landmark Preservation Ordinance Notice of Decision: 1929 Martin Luther King Jr. Way/#LMIN2025-0002,,,8
2026-01-20,27,Surveillance Technology Ordinance Report Update,,,8
2026-01-27,18,Implement Residential Preferential Parking (RPP) Program on the 1700 Block of Cedar Street,,,2
2026-01-27,19,Selected Marina Fee Increases,,,2
2026-01-27,20,"Zoning Adjustment Board Appeal: 2109 Virginia, Use Permit #ZP2024-0066",,,8
2026-01-27,21,Rescission and replacement of the Police Equipment and Community Safety Ordinance,"Humbert, OKeefe",,2
2026-01-27,22,"Creating Accessible Routes For Riders, Equity, and the Environment (CAR FREE): Budget Referral to Fund Limiting Cars on Telegraph Avenue",LunaParra,"$1,325,000.00",9
2026-01-27,1,2026 City Council Referral Prioritization Process Using Re-Weighted Range Voting (RRV),,,8
2026-02-10,14,"Zoning Adjustments Board Appeal: 2109 Virginia, Use Permit #ZP2024-0066",,,8
2026-02-10,15,Fiscal Year 2027 Operational Changes to Berkeley Rides for Seniors and the Disabled,,,2
2026-02-10,1,2026 City Council Referral Prioritization Results Using Re-Weighted Range Voting (RRV),,,8
2026-02-24,20,Amendments to Title 21 (Subdivisions Ordinance) and Title 23 (Zoning Ordinance) to implement Senate Bill (SB) 684,,,2
2026-02-24,21,City of Berkeley’s 2026 State and Federal Legislative Platform,Ishii,,9
2026-02-24,22,"FY 2025 Fourth Quarter Investment Report: Ended June 30, 2025",,,1
2026-02-24,23,"FY 2026 First Quarter Investment Report: Ended September 30, 2025",,,1
2026-02-24,24,Restaurant Inspection Audit Status Report,,,8
2026-02-24,25,A Guide to Measuring Performance in the City of Berkeley,,,2
2026-02-24,26,Safe Streets Citizen Oversight Committee (SSCOC) Workplan for FY25-26,,,3
2026-03-10,14,"Amendments to BMC Title 23 (Zoning) to Update the Regulation of Nonconforming Lot Coverage, Floor Area Ratio and Density for Residential Uses in Selected Zoning Districts",,,2
2026-03-10,15,"Amendments to the Berkeley Election Reform Act Regarding the Return of Unspent Public Matching Funds, Reuse of Campaign Materials, Campaign Expenditures and Cost of Living Adjustments",,,8
2026-03-10,16,Appeal of Special Assessment Tax Lien and of the Need for Abatement Action at 2750 Cedar Street,,"$24,831.00",8
2026-03-10,17,Resolution Rescinding Berkeley Police Department’s Pepper Spray Reporting Requirement,Kesarwani,,2
2026-03-10,18,City of Berkeley’s 2026 State and Federal Legislative Platform,Ishii,,9
2026-03-24,25,Adopt a Resolution Authorizing Temporary Employment of Retired Annuitant Kathy Lee as Interim Director of Police Accountability,Ishii,$122.00,8
2026-03-24,26,"Public Safety Technology: Surveillance Technology Ordinance and Police Equipment Ordinance Approvals, Policy Updates, and Contract Authority",,"$2,725,000.00",2
2026-03-24,27,"Settlement Agreement – Berkeley People’s Alliance et. al. v. City of Berkeley et. al., Alameda County Superior Court Case No. 24CV064980; Cal. Court of Appeal Case No. A172245",,,8
